Rk,Player,Age,Tm,Pos,GP,G,A,PTS,GC,plusMinus,PIM,EV,PP,SH,GW,S,S%,TOI,ATOI
1,Daniel Sedin,30,VAN,LW,82,41,63,104,39,30,32,23,18,0,10,266,15.4,1521,18:33
2,Martin St. Louis,35,TBL,RW,82,31,68,99,35,0,12,27,4,0,7,254,12.2,1720,20:59
3,Corey Perry,25,ANA,RW,82,50,48,98,39,9,104,32,14,4,11,290,17.2,1830,22:19
4,Henrik Sedin,30,VAN,C,82,19,75,94,30,26,40,11,8,0,4,157,12.1,1579,19:16
5,Steven Stamkos,20,TBL,C,82,45,46,91,36,3,74,28,17,0,8,272,16.5,1656,20:12
6,Jarome Iginla,33,CGY,RW,82,43,43,86,34,0,40,29,14,0,6,289,14.9,1717,20:56
7,Alex Ovechkin,25,WSH,LW,79,32,53,85,32,24,41,25,7,0,11,367,8.7,1688,21:22
8,Teemu Selanne,40,ANA,RW,73,31,49,80,29,6,49,15,16,0,5,213,14.6,1310,17:56
9,Henrik Zetterberg,30,DET,LW,80,24,56,80,28,-1,40,14,10,0,3,306,7.8,1567,19:35
10,Brad Richards,30,DAL,C,72,28,49,77,28,1,24,21,7,0,3,272,10.3,1564,21:43
11,Ryan Getzlaf,25,ANA,C,67,19,57,76,25,14,35,12,7,0,4,117,16.2,1464,21:51
12,Claude Giroux,23,PHI,RW,82,25,51,76,28,20,47,14,8,3,5,169,14.8,1591,19:24
13,Eric Staal,26,CAR,C,81,33,43,76,30,-10,72,18,12,3,8,296,11.1,1777,21:56
14,Jonathan Toews,22,CHI,C,80,32,44,76,29,25,26,21,10,1,8,233,13.7,1661,20:46
15,Loui Eriksson,25,DAL,LW,79,27,46,73,27,10,8,16,10,1,6,179,15.1,1625,20:34
16,Patrick Kane,22,CHI,RW,73,27,46,73,27,7,28,22,5,0,2,216,12.5,1408,19:17
17,Ryan Kesler,26,VAN,C,82,41,32,73,30,24,66,23,15,3,7,260,15.8,1681,20:30
18,Anze Kopitar,23,LAK,C,75,25,48,73,26,25,20,18,6,1,6,233,10.7,1619,21:35
19,Patrick Marleau,31,SJS,C,82,37,36,73,29,-3,16,24,11,2,9,279,13.3,1705,20:47
20,Thomas Vanek,27,BUF,LW,80,32,41,73,28,2,24,21,11,0,5,238,13.4,1388,17:21
21,Mike Ribeiro,30,DAL,C,82,19,52,71,24,-4,28,12,7,0,4,161,11.8,1637,19:58
22,Bobby Ryan,23,ANA,RW,82,34,37,71,28,15,61,28,5,1,5,270,12.6,1655,20:11
23,Patrick Sharp,29,CHI,C,74,34,37,71,28,-1,38,20,12,2,6,268,12.7,1437,19:25
24,Joe Thornton,31,SJS,C,80,21,49,70,24,4,47,10,9,2,3,149,14.1,1590,19:52
25,Alex Tanguay,31,CGY,LW,79,22,47,69,24,0,24,19,3,0,2,120,18.3,1561,19:46
26,Danny Briere,33,PHI,C,77,34,34,68,28,20,87,28,6,0,6,246,13.8,1410,18:19
27,Lubomir Visnovsky,34,ANA,D,81,18,50,68,23,18,24,13,5,0,4,152,11.8,1968,24:18:00
28,Matt Duchene,20,COL,C,80,27,40,67,25,-8,33,24,3,0,2,202,13.4,1516,18:57
29,John Tavares,20,NYI,C,79,29,38,67,26,-16,53,20,9,0,4,243,11.9,1521,19:15
30,Jeff Carter,26,PHI,C,80,36,30,66,28,27,39,28,8,0,7,335,10.7,1460,18:15
31,Sidney Crosby,23,PIT,C,41,32,34,66,26,20,31,21,10,1,3,161,19.9,899,21:55
32,Rick Nash,26,CBJ,LW,75,32,34,66,26,2,34,26,6,0,7,305,10.5,1420,18:56
33,Joe Pavelski,26,SJS,C,74,20,46,66,23,10,24,8,11,1,5,282,7.1,1454,19:39
34,Mike Richards,25,PHI,C,81,23,43,66,24,11,62,15,5,3,4,184,12.5,1529,18:53
35,Nicklas Backstrom,23,WSH,C,77,18,47,65,23,24,40,13,4,1,2,202,8.9,1586,20:36
36,Dany Heatley,30,SJS,RW,80,26,38,64,24,8,56,14,11,1,5,217,12,1572,19:39
37,Phil Kessel,23,TOR,C,82,32,32,64,26,-20,24,19,12,1,6,325,9.8,1611,19:39
38,Jeff Skinner,18,CAR,RW,82,31,32,63,26,3,46,25,6,0,2,215,14.4,1372,16:44
39,David Backes,26,STL,RW,82,31,31,62,25,32,93,26,5,0,2,211,14.7,1616,19:42
40,Ryane Clowe,28,SJS,LW,75,24,38,62,23,13,100,19,5,0,2,185,13,1347,17:58
41,Patrik Elias,34,NJD,LW,81,21,41,62,23,-4,16,13,7,1,5,204,10.3,1510,18:38
42,Martin Havlat,29,MIN,LW,78,22,40,62,22,-10,52,19,3,0,4,229,9.6,1431,18:21
43,Mikko Koivu,27,MIN,C,71,17,45,62,21,4,50,9,7,1,3,191,8.9,1384,19:29
44,David Krejci,24,BOS,C,75,13,49,62,20,23,28,12,1,0,2,157,8.3,1414,18:51
45,Nicklas Lidstrom,40,DET,D,82,16,46,62,21,-2,20,9,7,0,1,175,9.1,1924,23:28
46,Milan Lucic,22,BOS,LW,79,30,32,62,25,28,121,25,5,0,7,173,17.3,1310,16:35
47,Clarke MacArthur,25,TOR,LW,82,21,41,62,23,-3,37,15,6,0,3,154,13.6,1403,17:07
48,Shane Doan,34,PHX,RW,72,20,40,60,22,5,67,9,11,0,6,221,9,1389,19:17
49,Ilya Kovalchuk,27,NJD,LW,81,31,29,60,25,-26,28,22,9,0,9,245,12.7,1828,22:34
50,Pavel Datsyuk,32,DET,C,56,23,36,59,22,11,15,16,6,1,5,137,16.8,1082,19:19
51,Andrew Ladd,25,ATL,LW,81,29,30,59,24,-10,39,18,9,2,2,195,14.9,1626,20:04
52,Keith Yandle,24,PHX,D,82,11,48,59,19,12,68,8,3,0,0,199,5.5,1999,24:23:00
53,Mikhail Grabovski,27,TOR,C,81,29,29,58,24,14,60,19,10,0,4,239,12.1,1568,19:22
54,Patrice Bergeron,25,BOS,C,80,22,35,57,21,20,26,17,3,2,4,211,10.4,1431,17:53
55,Dustin Brown,26,LAK,RW,82,28,29,57,23,17,67,21,7,0,2,228,12.3,1588,19:22
56,Marian Hossa,32,CHI,RW,65,25,32,57,22,9,32,15,8,2,2,205,12.2,1281,19:42
57,Nikolai Kulemin,24,TOR,LW,82,30,27,57,24,7,26,24,5,1,5,173,17.3,1421,17:19
58,Tomas Plekanec,28,MTL,C,77,22,35,57,21,8,60,18,3,1,4,227,9.7,1559,20:15
59,Tuomo Ruutu,27,CAR,C,82,19,38,57,21,1,54,12,7,0,1,148,12.8,1380,16:50
60,Jason Spezza,27,OTT,C,62,21,36,57,21,-7,28,14,7,0,2,188,11.2,1252,20:12
61,Paul Stastny,25,COL,C,74,22,35,57,21,-7,56,17,4,1,3,181,12.2,1460,19:44
62,R.J. Umberger,28,CBJ,C,82,25,32,57,22,3,38,14,8,3,3,220,11.4,1576,19:13
63,Ray Whitney,38,PHX,LW,75,17,40,57,20,0,24,14,3,0,1,156,10.9,1272,16:57
64,Justin Williams,29,LAK,RW,73,22,35,57,21,14,59,17,5,0,3,213,10.3,1259,17:15
65,Jamie Benn,21,DAL,LW,69,22,34,56,21,-5,52,12,6,4,3,177,12.4,1243,18:01
66,Logan Couture,21,SJS,C,79,32,24,56,23,18,41,22,10,0,8,253,12.6,1408,17:49
67,Milan Hejduk,34,COL,RW,71,22,34,56,21,-23,18,12,10,0,2,170,12.9,1273,17:55
68,Brenden Morrow,32,DAL,LW,82,33,23,56,24,-3,76,23,9,1,5,209,15.8,1577,19:14
69,Brad Boyes,28,TOT,C,83,17,38,55,20,13,36,11,6,0,3,178,9.6,1410,0.708333333
70,Johan Franzen,31,DET,C,76,28,27,55,22,5,58,18,10,0,5,248,11.3,1325,17:26
71,Brandon Dubinsky,24,NYR,C,77,24,30,54,21,-3,100,18,4,2,2,202,11.9,1557,20:14
72,Olli Jokinen,32,CGY,C,79,17,37,54,19,-17,44,12,5,0,1,208,8.2,1404,17:47
73,Vincent Lecavalier,30,TBL,C,65,25,29,54,21,-5,43,13,12,0,5,210,11.9,1200,18:27
74,Alexander Semin,26,WSH,LW,65,28,26,54,22,22,71,21,6,1,4,196,14.3,1175,18:04
